Date,Hm0 (m),H 1/10 (m),Hmax (m),Peak Tp (s),Mean Dir (Degree),WS 10m (m/s)
2019-05-01 00:00:00,0.29,0.36,0.47,4.5,27.72,4.737767902
2019-05-01 00:30:00,0.27,0.34,0.44,4.335,99.165,4.373306585
2019-05-01 01:00:00,0.25,0.32,0.41,4.17,170.61,4.01810621
2019-05-01 01:30:00,0.23,0.295,0.375,4.295,163.47,3.639329431
2019-05-01 02:00:00,0.21,0.27,0.34,4.42,156.33,3.42853881
2019-05-01 02:30:00,0.195,0.25,0.32,4.26,176.785,3.292087094
2019-05-01 03:00:00,0.18,0.23,0.3,4.1,197.24,3.196178005
2019-05-01 03:30:00,0.185,0.235,0.305,4.1,121.595,3.260416656
2019-05-01 04:00:00,0.19,0.24,0.31,4.1,45.95,3.310217913
2019-05-01 04:30:00,0.17,0.22,0.28,4.67,107.58,2.97837266
2019-05-01 05:00:00,0.15,0.2,0.25,5.24,169.21,2.599183138
2019-05-01 05:30:00,0.15,0.195,0.245,4.89,154.165,2.628598964
2019-05-01 06:00:00,0.15,0.19,0.24,4.54,139.12,2.581149542
2019-05-01 06:30:00,0.145,0.18,0.23,4.32,151.79,2.501000049
2019-05-01 07:00:00,0.14,0.17,0.22,4.1,164.46,2.452500351
2019-05-01 07:30:00,0.14,0.175,0.225,5.0,165.6,2.47663641
2019-05-01 08:00:00,0.14,0.18,0.23,5.9,166.74,2.508559368
2019-05-01 08:30:00,0.145,0.19,0.245,5.18,181.18,2.675394255
2019-05-01 09:00:00,0.15,0.2,0.26,4.46,195.62,2.811984303
2019-05-01 09:30:00,0.215,0.275,0.355,4.46,172.085,3.953606616
2019-05-01 10:00:00,0.28,0.35,0.45,4.46,148.55,5.015590287
2019-05-01 10:30:00,0.3,0.38,0.49,4.16,127.12,5.443564793
2019-05-01 11:00:00,0.32,0.41,0.53,3.86,105.69,5.935652172
2019-05-01 11:30:00,0.295,0.38,0.485,4.47,124.99,5.58933581
2019-05-01 12:00:00,0.27,0.35,0.44,5.08,144.29,5.303485843
2019-05-01 12:30:00,0.26,0.335,0.425,4.335,75.725,5.063675931
2019-05-01 13:00:00,0.25,0.32,0.41,3.59,7.16,5.005414747
2019-05-01 13:30:00,0.27,0.34,0.44,3.695,92.605,5.236444363
2019-05-01 14:00:00,0.29,0.36,0.47,3.8,178.05,5.480482735
2019-05-01 14:30:00,0.29,0.365,0.475,3.815,250.725,5.534674265
2019-05-01 15:00:00,0.29,0.37,0.48,3.83,323.4,5.539978922
2019-05-01 15:30:00,0.25348338,0.313156032,0.39,4.125,241.81,4.596925721
2019-05-01 16:00:00,0.21696676,0.256312064,0.3,4.42,160.22,3.606936131
2019-05-01 16:30:00,0.21696676,0.256312064,0.301770426,4.61,149.675,3.573673834
2019-05-01 17:00:00,0.21696676,0.256312064,0.303540853,4.8,139.13,3.664462426
2019-05-01 17:30:00,0.222283937,0.262760067,0.308677752,4.71,151.14,3.766553399
2019-05-01 18:00:00,0.227601114,0.269208069,0.31381465,4.62,163.15,3.946632798
2019-05-01 18:30:00,0.280285682,0.323140298,0.368090437,6.265,168.71,4.529753754
2019-05-01 19:00:00,0.33297025,0.377072527,0.422366224,7.91,174.27,5.187624966
2019-05-01 19:30:00,0.334486214,0.378316307,0.423392156,7.735,178.725,5.185803001
2019-05-01 20:00:00,0.336002178,0.379560087,0.424418088,7.56,183.18,5.1645565
2019-05-01 20:30:00,0.336002178,0.379560087,0.424418088,7.675,179.005,5.081977394
2019-05-01 21:00:00,0.336002178,0.379560087,0.424418088,7.79,174.83,5.122326633
2019-05-01 21:30:00,0.34877288,0.393524005,0.437940692,7.73,168.11,5.356398882
2019-05-01 22:00:00,0.361543581,0.407487922,0.451463295,7.67,161.39,5.463883252
2019-05-01 22:30:00,0.357449365,0.403017068,0.447749313,7.85,168.92,5.46982303
2019-05-01 23:00:00,0.353355148,0.398546213,0.444035331,8.03,176.45,5.359267268
2019-05-01 23:30:00,0.326677574,0.370243766,0.415449822,8.16,171.68,4.729828263
2019-05-02 00:00:00,0.3,0.341941319,0.386864312,8.29,166.91,4.379051013
2019-05-02 00:30:00,0.311804192,0.354390617,0.398267791,8.16,165.405,4.494287387
2019-05-02 01:00:00,0.323608383,0.366839914,0.409671269,8.03,163.9,4.735842437
2019-05-02 01:30:00,0.332774851,0.375647627,0.420071149,7.97,173.575,4.883793976
2019-05-02 02:00:00,0.341941319,0.384455339,0.430471029,7.91,183.25,4.906422103
2019-05-02 02:30:00,0.331167664,0.37433138,0.418979476,7.97,178.255,4.710417441
2019-05-02 03:00:00,0.320394009,0.36420742,0.407487922,8.03,173.26,4.596363873
2019-05-02 03:30:00,0.31370806,0.355964989,0.39954795,7.85,176.13,4.483729859
2019-05-02 04:00:00,0.307022111,0.347722558,0.391607978,7.67,179.0,4.380730716
2019-05-02 04:30:00,0.307022111,0.349139723,0.392775897,7.67,182.475,4.376078699
2019-05-02 05:00:00,0.307022111,0.350556888,0.393943816,7.67,185.95,4.322502464
2019-05-02 05:30:00,0.315315247,0.358698401,0.402889237,7.79,179.335,4.439254138
